98
1 0 1 0 0 1 1 1 
1 0 0 0 0 0 0 0
Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C
Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C
Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C
Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C
Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C
Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C
Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C
Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C

Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C
C 0 C 0 0 C C C
Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C
Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C
C 0 C 0 0 C C C
Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C

Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C
Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C
Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C
Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C
Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C
Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C
Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C
Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C

Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C
C 0 C 0 0 C C C
Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C
Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C
C 0 C 0 0 C C C
Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C

Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C
C 0 C 0 0 C C C
Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C
Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C
C 0 C 0 0 C C C
Am 0 Am 0 0 Am Am Am 
G 0 G 0 0 G G G
C 0 C 0 0 C C C

